Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Настольные лампы;A4034LT-1BC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A4034LT-1BC;12820;12;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4;0,1135;;;;;78;;;;;38;;черный хром;черный;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A4034LT-1BR;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A4034LT-1BR;12820;59;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4;0,1135;;;;;78;;;;;38;;коричневый;коричневый;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A2084LT-1CC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A2084LT-1CC;17273;0;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;4,5;0,0658;41;41;;;60;;;;;;;хром;;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A1277LT-1CC;ArteLamp;Италия;LUXURY;Настольная лампа ArteLamp LUXURY A1277LT-1CC;10660;62;Современный;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;2,6;0,063;41;22;;;70;;;;;;;хром;серебристый;;;;;;;;;;;;литье, латунь;ArteLamp;;140
Настольные лампы;A2038LT-1CC;ArteLamp;Италия;BUBBLES;Настольная лампа ArteLamp BUBBLES A2038LT-1CC;6710;72;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;6,9;0,0773;;;;;65;;;;;32;;хром;черный;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Торшеры напольные;A2038PN-1CC;ArteLamp;Италия;BUBBLES;Торшер ArteLamp BUBBLES A2038PN-1CC;9630;29;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;6,6;0,1026;;;;;150;;;;;40;;хром;черный;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A4318LT-1CC;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A4318LT-1CC;6540;146;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;8;0,0895;35;35;;;66;;;;;;;хром;;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A4318LT-1BZ;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A4318LT-1BZ;6540;84;Современный;1;100;E27;;;;;;;;;;1;100;100 Вт;E27;;;;;8;0,0895;35;35;;;66;;;;;;;бронза;;;;;;;;;;;;;2 шт. в упаковке;ArteLamp;;140
Настольные лампы;A5555LT-1WH;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A5555LT-1WH;3510;19;Классика;1;40;E27;;;;;;;;;;1;40;40 Вт;E27;;;;;1,79;0,0703;23;23;;;57;;;;;;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
Настольные лампы;A2351LT-1WH;ArteLamp;Италия;COSY;Настольная лампа ArteLamp COSY A2351LT-1WH;3820;139;Классика;1;60;E27;;;;;;;;;;1;60;60 Вт;E27;;;;;1,8;0,0353;;;;;50;;;;;26;;белый;белый;;;;;;;;;;;;;ArteLamp;;140
