Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол_во_ламп_1;Макс_мощность_1;Тип_цоколя_1;Напряжение_1;Кол_во_ламп_2;Макс_мощность_2;Тип_цоколя_2;Напряжение_2;Кол_во_ламп_3;Макс_мощность_3;Тип_цоколя_3;Напряжение_3;Кол_во_лампочек_цоколей_вычисляемое;Общая_мощность_вычисляемая;МАКС_мощность_1_ой_лампочки_собираемая;Тип_цоколя_собираемый;Напряжение_собираемое;Наличие_лампочек_в_комплекте;Степень_пыле_влагозащиты_IP;Класс_защиты_от_эл_тока;Вес_кг;Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона (абажура);Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Бра настенные ;AD531-22opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;AD531;Бра BERLINER MESSINGLAMPEN AD531-22opB;9205;2;Классика;1;40;E27;220; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;220;;;;1,8;0,028;;;;;;;;;;;;Berliner Messing;Opal glass;;;;;;;;;;;;;SvetBerry;ad531-22opb;30
Бра настенные ;A10-11opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A10;Бра BERLINER MESSINGLAMPEN A10-11opB;6050;6;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1,2;0,015;;;;20;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a10-11opb;30
Бра настенные ;A15-123opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A15;Бра BERLINER MESSINGLAMPEN A15-123opB;8520;3;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;2,1;0,026;;;;30;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a15-123opb;30
Бра настенные ;A20-11opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A20;Бра BERLINER MESSINGLAMPEN A20-11opB;9145;17;Классика;2;40;E27; ; ; ; ; ; ; ; ; ;2;80;40 Вт;E27;;;;;1,5;0,026;;;;18;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a20-11opb;30
Бра настенные ;A30-32gsA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A30;Бра BERLINER MESSINGLAMPEN A30-32gsA;6990;1;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1,2;0,014;;;;17;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a30-32gsa;30
Бра настенные ;A31-38opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A31;Бра BERLINER MESSINGLAMPEN A31-38opB;12706;0;Классика;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;3;0,064;;;;48;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a31-38opb;30
Бра настенные ;A31-70opA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A31;Бра BERLINER MESSINGLAMPEN A31-70opA;12525;1;Классика;1;60;E27; ; ; ; ; ; ; ; ; ;1;60;60 Вт;E27;;;;;3,3;0,064;;;;48;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a31-70opa;30
Бра настенные ;A34-115maA;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A34;Бра BERLINER MESSINGLAMPEN A34-115maA;6991;0;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1,2;0,014;;;;22;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a34-115maa;30
Бра настенные ;A34-115opB;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A34;Бра BERLINER MESSINGLAMPEN A34-115opB;5610;7;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1,2;0,014;;;;22;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a34-115opb;30
Бра настенные ;A34-115opN;BERLINER MESSINGLAMPEN;ГЕРМАНИЯ;A34;Бра BERLINER MESSINGLAMPEN A34-115opN;6881;0;Классика;1;40;E27; ; ; ; ; ; ; ; ; ;1;40;40 Вт;E27;;;;;1,3;0,014;;;;22;;;;;;;;;;;;;;;;;;;;;;SvetBerry;a34-115opn;30
