Категория;Артикул фабрики;Название фабрики;Страна происхождения;Серия;Наименование;Цена;Остатки;Стиль;Кол-во ламп_1;Макс.мощность_1;Тип цоколя_1;Напряжение_1;Кол-во ламп_2;Макс.мощность_2;Тип цоколя_2;Напряжение_2;Кол-во ламп_3;Макс.мощность_3;Тип цоколя_3;Напряжение_3;Количество лампочек (цоколей)_вычисляемое;Общая мощность_вычисляемая;Максимальная мощность 1-ой лампочки_собираемая;Тип цоколя_собираемый;Напряжение_собираемое;Наличие лампочек в комплекте;Степень пыле-влагозащиты (IP);Класс защиты от эл. тока;Вес брутто(кг);Объем (м3);Длина (см);Ширина (см);Диаметр (см);Выступ (см);Высота (см);МАКС высота (см);МИН высота (см);Глубина врезного отверстия;Размер врезного отверстия;Диаметр абажура (см);Дополнительные функции;Цвет каркаса;Цвет плафона/абажура;Материал каркаса;Материал плафона/абажура;Тип хрусталя;Хрусталь;Кованый;Флористика;Детский;Светодиодный;Точечный;Подсветка предметов;На солнечных батареях;Примечание;Поставщик;Внутренний код;Сортировка
Уличные светильники>>Настенные;3376;Eglo;Австрия;Laterna 7;Уличный настенный светильник Eglo Laterna 7 3376;910;46;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP33;I;;;15,5;;;17;22;;;;;;;черный;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Уличные светильники>>Настенные;3377;Eglo;Австрия;Laterna 7;Уличный настенный светильник Eglo Laterna 7 3377;910;5;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP33;I;;;15,5;;;17;22;;;;;;;белый;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Уличные светильники>>Настенно-потолочные;5389;Eglo;Австрия;Laterna 7;Уличный настенно-потолочный светильник Eglo Laterna 7 5389;1316;12;Классика;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP54;I;;;;;23;14;;;;;;;;черный;белый;металл;стекло;;;да;;;;;;;;Eglo;;310
Настольные лампы;7060;Eglo;Австрия;Top Desk;Настольная лампа Eglo Top Desk 7060;910;83;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;;;47;;;;;;выключатель на проводе;серебряный;серебряный;металл;металл;;;;;;;;;;;Eglo;;310
Светильники>>Потолочные;7422;Eglo;Австрия;Uppsala;Потолочный светильник Eglo Uppsala 7422;1826;28;Современный;1;100;E27;230;;;;;;;;;1;100;100 Вт;E27;230;;IP20;II;;;;;38;;110;;;;;;регулировка по высоте;черный;желтый;металл;стекло;;;;;;;;;;;Eglo;;310
Светильники>>Потолочные;7426;Eglo;Австрия;Uppsala;Потолочный светильник Eglo Uppsala 7426;806;1;Современный;1;60;E14;230;;;;;;;;;1;60;60 Вт;E14;230;;IP20;II;;;;;17,5;;110;;;;;;регулировка по высоте;черный;оранжевый;металл;стекло;;;;;;;;;;;Eglo;;310
Люстры>>Потолочные;8590;Eglo;Австрия;Diana;Потолочная люстра Eglo Diana 8590;4895;0;Классика;3;40;E14;230;;;;;;;;;3;120;40 Вт;E14;230;;IP20;I;;;;;43;;18;;;;;;;желтый;белый, прозрачный;металл;стекло;;;;да;;;;;;;Eglo;;310
Настольные лампы;9229;Eglo;Австрия;Basic;Настольная лампа Eglo Basic 9229;765;0;Современный;1;60;E27;230;;;;;;;;;1;60;60 Вт;E27;230;;IP20;II;;;;;;;30;;;;;;выключатель на корпусе;белый;белый;металл;металл;;;;;;;;;;;Eglo;;310
Настольные лампы;23872;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23872;996;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;синий;синий;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23873;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23873;704;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;белый;белый;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23874;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23874;704;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;белый;белый;керамика;текстиль;;;;;;;;;;;Eglo;;310
Настольные лампы;23876;Eglo;Австрия;Tina;Настольная лампа Eglo Tina 23876;1003;0;Современный;1;40;E14;230;;;;;;;;;1;40;40 Вт;E14;230;;IP20;II;;;;;21,5;;27,8;;;;;;выключатель на проводе;красный;красный;керамика;текстиль;;;;;;;;;;;Eglo;;310
Светильники>>Настенные;24724;Eglo;Австрия;Magnum;Настенный светильник Eglo Magnum 24724;745;0;Современный;1;50;GU10;230;;;;;;;;;1;50;50 Вт;GU10;230;да;IP20;I;;;;;7;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;24725;Eglo;Австрия;Magnum;Настенно-потолочный светильник Eglo Magnum 24725;1188;9;Современный;2;50;GU10;230;;;;;;;;;2;100;50 Вт;GU10;230;да;IP20;I;;;37;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;24728;Eglo;Австрия;Magnum;Настенно-потолочный светильник Eglo Magnum 24728;2089;19;Современный;4;50;GU10;230;;;;;;;;;4;200;50 Вт;GU10;230;да;IP20;I;;;65;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
Светильники>>Настенно-потолочные;80228;Eglo;Австрия;Wave;Настенно-потолочный светильник Eglo Wave 80228;3562;94;Современный;4;50;GU10;230;;;;;;;;;4;200;50 Вт;GU10;230;да;IP20;I;;;117;;;;;;;;;;;никель, хром;;металл;металл;;;;;;;да;да;;;Eglo;;310
